Quarter,QuarterQF,HB,HBQF,Location,LocationQF,AdmissionType,AdmissionTypeQF,Episodes,LengthOfEpisode,AverageLengthOfEpisode,AverageLengthOfEpisodeQF,Stays,LengthOfStay,AverageLengthOfStay,AverageLengthOfStayQF
2019Q2,,S08000017,,Y144H,,All Inpatients,d,58,1084,18.68965517,,21,268,12.76190476,
2019Q3,,S08000017,,Y144H,,All Inpatients,d,77,1628,21.14285714,,14,289,20.64285714,
2019Q4,,S08000017,,Y144H,,All Inpatients,d,111,1464,13.18918919,,21,213,10.14285714,
2020Q1,,S08000017,,Y144H,,All Inpatients,d,90,1482,16.46666667,,24,221,9.208333333,
2020Q2,,S08000017,,Y144H,,All Inpatients,d,46,727,15.80434783,,21,328,15.61904762,
2020Q3,p,S08000017,,Y144H,,All Inpatients,d,58,1152,19.86206897,,5,197,39.4,
2015Q3,,S08000017,,S08000017,d,All Inpatients,d,5966,28129,4.714884345,,3979,30562,7.680824328,
2015Q4,,S08000017,,S08000017,d,All Inpatients,d,5662,29760,5.256093253,,3832,33123,8.643789144,
2016Q1,,S08000017,,S08000017,d,All Inpatients,d,5735,30853,5.379773322,,3891,31871,8.190953482,
2016Q2,,S08000017,,S08000017,d,All Inpatients,d,5935,30725,5.176916596,,4150,33459,8.062409639,
2016Q3,,S08000017,,S08000017,d,All Inpatients,d,5974,29645,4.962336793,,4192,32695,7.799379771,
2016Q4,,S08000017,,S08000017,d,All Inpatients,d,6407,28226,4.405493991,,4119,31978,7.763534839,
2017Q1,,S08000017,,S08000017,d,All Inpatients,d,7144,29590,4.14193729,,4155,32449,7.809626955,
2017Q2,,S08000017,,S08000017,d,All Inpatients,d,6897,30153,4.371900826,,4156,33019,7.944898941,
2017Q3,,S08000017,,S08000017,d,All Inpatients,d,7203,28230,3.919200333,,4275,29878,6.989005848,
2017Q4,,S08000017,,S08000017,d,All Inpatients,d,7039,28956,4.113652507,,4051,31157,7.691187361,
2018Q1,,S08000017,,S08000017,d,All Inpatients,d,7292,29839,4.092018651,,4201,33409,7.952630326,
2018Q2,,S08000017,,S08000017,d,All Inpatients,d,7357,28290,3.845317385,,4179,30759,7.360373295,
2018Q3,,S08000017,,S08000017,d,All Inpatients,d,7347,28408,3.866612223,,4212,31645,7.51305793,
2018Q4,,S08000017,,S08000017,d,All Inpatients,d,7426,28671,3.860894156,,4175,31755,7.605988024,
2019Q1,,S08000017,,S08000017,d,All Inpatients,d,7996,30057,3.759004502,,4157,33288,8.007697859,
2019Q2,,S08000017,,S08000017,d,All Inpatients,d,7975,30295,3.798746082,,4382,34255,7.817206755,
2019Q3,,S08000017,,S08000017,d,All Inpatients,d,7430,30009,4.038896366,,4173,33257,7.969566259,
2019Q4,,S08000017,,S08000017,d,All Inpatients,d,7822,31059,3.9707236,,4294,33219,7.736143456,
2020Q1,,S08000017,,S08000017,d,All Inpatients,d,7168,32161,4.486746652,,3986,39375,9.878324134,
2020Q2,,S08000017,,S08000017,d,All Inpatients,d,5084,18850,3.707710464,,2803,20550,7.33143061,
2020Q3,p,S08000017,,S08000017,d,All Inpatients,d,6519,25749,3.949838932,,3743,26863,7.176863478,
2015Q3,,S08000029,,S08000029,d,All Inpatients,d,12963,56323,4.344904729,,8046,55656,6.917225951,
2015Q4,,S08000029,,S08000029,d,All Inpatients,d,13156,55632,4.228640924,,8093,57721,7.132213024,
2016Q1,,S08000029,,S08000029,d,All Inpatients,d,14021,56472,4.027672777,,8587,58573,6.821124956,
2016Q2,,S08000029,,S08000029,d,All Inpatients,d,13580,56721,4.176804124,,8397,57709,6.872573538,
2016Q3,,S08000029,,S08000029,d,All Inpatients,d,13562,63606,4.690016222,,8362,64848,7.755082516,
2016Q4,,S08000029,,S08000029,d,All Inpatients,d,13592,56444,4.152736904,,8426,59565,7.069190601,
2017Q1,,S08000029,,S08000029,d,All Inpatients,d,13299,50842,3.82299421,,8271,54147,6.546608633,
2017Q2,,S08000029,,S08000029,d,All Inpatients,d,14121,55291,3.915515898,,8881,58166,6.54948767,
2017Q3,,S08000029,,S08000029,d,All Inpatients,d,13967,53585,3.836543281,,8738,55901,6.397459373,
2017Q4,,S08000029,,S08000029,d,All Inpatients,d,14181,53249,3.754953811,,8736,53524,6.126831502,
2018Q1,,S08000029,,S08000029,d,All Inpatients,d,14234,57847,4.064001686,,8727,59045,6.765784347,
2018Q2,,S08000029,,S08000029,d,All Inpatients,d,14296,53692,3.75573587,,9041,55800,6.171883641,
2018Q3,,S08000029,,S08000029,d,All Inpatients,d,13601,52453,3.856554665,,8578,52891,6.165889485,
2018Q4,,S08000029,,S08000029,d,All Inpatients,d,14213,56578,3.980721874,,8845,59469,6.723459582,
2019Q1,,S08000029,,S08000029,d,All Inpatients,d,14661,56059,3.823681877,,9137,59393,6.500273613,
2019Q2,,S08000029,,S08000029,d,All Inpatients,d,14426,55931,3.877096908,,9128,57432,6.291849255,
2019Q3,,S08000029,,S08000029,d,All Inpatients,d,14390,55354,3.846699097,,9120,57135,6.264802632,
2019Q4,,S08000029,,S08000029,d,All Inpatients,d,14430,56064,3.885239085,,9059,59517,6.569930456,
2020Q1,,S08000029,,S08000029,d,All Inpatients,d,13175,58086,4.408804554,,8402,65464,7.791478219,
2020Q2,,S08000029,,S08000029,d,All Inpatients,d,9486,35108,3.701033101,,5635,37117,6.586867791,
2020Q3,p,S08000029,,S08000029,d,All Inpatients,d,12259,44962,3.66767273,,7622,48598,6.376016793,
2015Q3,,S08000029,,F805H,,All Inpatients,d,345,7097,20.57101449,,167,727,4.353293413,
2015Q4,,S08000029,,F805H,,All Inpatients,d,351,5577,15.88888889,,188,531,2.824468085,
2016Q1,,S08000029,,F805H,,All Inpatients,d,348,5656,16.25287356,,186,762,4.096774194,
2016Q2,,S08000029,,F805H,,All Inpatients,d,351,6161,17.55270655,,195,1029,5.276923077,
2016Q3,,S08000029,,F805H,,All Inpatients,d,362,6208,17.14917127,,202,1121,5.54950495,
2016Q4,,S08000029,,F805H,,All Inpatients,d,356,6267,17.60393258,,193,997,5.165803109,
2017Q1,,S08000029,,F805H,,All Inpatients,d,320,6546,20.45625,,148,837,5.655405405,
2017Q2,,S08000029,,F805H,,All Inpatients,d,652,5902,9.052147239,,500,962,1.924,
2017Q3,,S08000029,,F805H,,All Inpatients,d,443,6455,14.57110609,,273,840,3.076923077,
2017Q4,,S08000029,,F805H,,All Inpatients,d,356,5896,16.56179775,,188,595,3.164893617,
2018Q1,,S08000029,,F805H,,All Inpatients,d,344,6088,17.69767442,,190,689,3.626315789,
2018Q2,,S08000029,,F805H,,All Inpatients,d,352,6169,17.52556818,,191,749,3.921465969,
2018Q3,,S08000029,,F805H,,All Inpatients,d,293,5952,20.31399317,,142,583,4.105633803,
2018Q4,,S08000029,,F805H,,All Inpatients,d,331,6548,19.78247734,,159,633,3.981132075,
2019Q1,,S08000029,,F805H,,All Inpatients,d,317,5480,17.28706625,,172,620,3.604651163,
2019Q2,,S08000029,,F805H,,All Inpatients,d,345,6944,20.12753623,,183,944,5.158469945,
2019Q3,,S08000029,,F805H,,All Inpatients,d,302,5985,19.81788079,,164,641,3.908536585,
2019Q4,,S08000029,,F805H,,All Inpatients,d,316,5356,16.94936709,,188,645,3.430851064,
2020Q1,,S08000029,,F805H,,All Inpatients,d,305,7626,25.00327869,,164,787,4.798780488,
2020Q2,,S08000029,,F805H,,All Inpatients,d,161,3125,19.40993789,,88,745,8.465909091,
2020Q3,p,S08000029,,F805H,,All Inpatients,d,180,4404,24.46666667,,95,1339,14.09473684,
2015Q3,,S08000029,,F704H,,All Inpatients,d,12344,38763,3.140230071,,7869,54783,6.961875715,
2015Q4,,S08000029,,F704H,,All Inpatients,d,12490,38970,3.120096077,,7884,56610,7.180365297,
2016Q1,,S08000029,,F704H,,All Inpatients,d,13369,40535,3.032014362,,8388,57518,6.857176919,
2016Q2,,S08000029,,F704H,,All Inpatients,d,12949,39203,3.02749247,,8189,55191,6.739650751,
2016Q3,,S08000029,,F704H,,All Inpatients,d,12919,38725,2.997523028,,8147,55530,6.816005892,
2016Q4,,S08000029,,F704H,,All Inpatients,d,12964,39822,3.071737118,,8222,57930,7.045730966,
2017Q1,,S08000029,,F704H,,All Inpatients,d,12877,40505,3.145530791,,8109,52845,6.516833148,
2017Q2,,S08000029,,F704H,,All Inpatients,d,13199,39479,2.991059929,,8365,56677,6.775493126,
2017Q3,,S08000029,,F704H,,All Inpatients,d,13207,36649,2.77496782,,8448,54695,6.474313447,
2017Q4,,S08000029,,F704H,,All Inpatients,d,13519,37929,2.805606924,,8526,52508,6.158573774,
2018Q1,,S08000029,,F704H,,All Inpatients,d,13577,41275,3.040067762,,8518,57921,6.799835642,
2018Q2,,S08000029,,F704H,,All Inpatients,d,13640,38276,2.806158358,,8830,54542,6.176896942,
2018Q3,,S08000029,,F704H,,All Inpatients,d,13022,37103,2.849255107,,8413,51380,6.107215024,
2018Q4,,S08000029,,F704H,,All Inpatients,d,13591,39997,2.942903392,,8670,58421,6.738292964,
2019Q1,,S08000029,,F704H,,All Inpatients,d,14069,40577,2.884142441,,8949,58398,6.525645323,
2019Q2,,S08000029,,F704H,,All Inpatients,d,13816,38792,2.80775912,,8933,56118,6.282100078,
2019Q3,,S08000029,,F704H,,All Inpatients,d,13848,40376,2.91565569,,8942,56257,6.291321852,
2019Q4,,S08000029,,F704H,,All Inpatients,d,13845,40384,2.916865294,,8853,58199,6.573929741,
2020Q1,,S08000029,,F704H,,All Inpatients,d,12618,40865,3.238627358,,8221,63987,7.783359689,
2020Q2,,S08000029,,F704H,,All Inpatients,d,9091,24818,2.7299527,,5525,35880,6.494117647,
2020Q3,p,S08000029,,F704H,,All Inpatients,d,11874,33402,2.813036887,,7509,46718,6.221600746,
2015Q3,,S08000019,,V217H,,All Inpatients,d,10843,43124,3.977128101,,6722,52384,7.792918774,
2015Q4,,S08000019,,V217H,,All Inpatients,d,10508,43071,4.098877046,,6516,52738,8.093615715,
2016Q1,,S08000019,,V217H,,All Inpatients,d,10880,43612,4.008455882,,6657,52957,7.955084873,
2016Q2,,S08000019,,V217H,,All Inpatients,d,10479,43179,4.120526768,,6508,52034,7.995390289,
2016Q3,,S08000019,,V217H,,All Inpatients,d,10687,42326,3.960512773,,6486,49794,7.677150786,
2016Q4,,S08000019,,V217H,,All Inpatients,d,10897,44799,4.111131504,,6688,56064,8.38277512,
2017Q1,,S08000019,,V217H,,All Inpatients,d,11075,43494,3.927223476,,7116,56348,7.918493536,
2017Q2,,S08000019,,V217H,,All Inpatients,d,10803,41744,3.864111821,,7127,53876,7.559421917,
2017Q3,,S08000019,,V217H,,All Inpatients,d,10561,41586,3.937695294,,6960,52224,7.503448276,
2017Q4,,S08000019,,V217H,,All Inpatients,d,10827,43899,4.054585758,,7001,53077,7.581345522,
2018Q1,,S08000019,,V217H,,All Inpatients,d,10814,44652,4.129091918,,6906,53840,7.796119317,
2018Q2,,S08000019,,V217H,,All Inpatients,d,10689,42485,3.974646833,,6986,53942,7.721442886,
2018Q3,,S08000019,,V217H,,All Inpatients,d,10653,42175,3.958978691,,6864,51632,7.522144522,
2018Q4,,S08000019,,V217H,,All Inpatients,d,10834,45943,4.240631346,,7036,56567,8.039653212,
2019Q1,,S08000019,,V217H,,All Inpatients,d,10787,45383,4.207193844,,6888,51693,7.504790941,
2019Q2,,S08000019,,V217H,,All Inpatients,d,16301,44257,2.714986811,,8414,52630,6.255051105,
2019Q3,,S08000019,,V217H,,All Inpatients,d,19306,47273,2.44861701,,9079,56602,6.234387047,
2019Q4,,S08000019,,V217H,,All Inpatients,d,17509,42753,2.441772803,,8188,54241,6.624450415,
2020Q1,,S08000019,,V217H,,All Inpatients,d,7495,28032,3.740093396,,3385,35624,10.52407681,
2020Q2,,S08000019,,V217H,,All Inpatients,d,10722,25570,2.384816266,,4525,37375,8.259668508,
2020Q3,p,S08000019,,V217H,,All Inpatients,d,5960,16104,2.702013423,,2472,24012,9.713592233,
2015Q3,,S08000019,,S08000019,d,All Inpatients,d,11119,53385,4.801241119,,6735,53292,7.912694878,
2015Q4,,S08000019,,S08000019,d,All Inpatients,d,10710,51727,4.829785247,,6525,53400,8.183908046,
2016Q1,,S08000019,,S08000019,d,All Inpatients,d,11206,53581,4.781456363,,6686,53564,8.011367036,
2016Q2,,S08000019,,S08000019,d,All Inpatients,d,10712,52038,4.857916355,,6524,52449,8.03939301,
2016Q3,,S08000019,,S08000019,d,All Inpatients,d,10875,50525,4.645977011,,6498,50576,7.783317944,
2016Q4,,S08000019,,S08000019,d,All Inpatients,d,11182,56363,5.040511536,,6704,57557,8.58547136,
2017Q1,,S08000019,,S08000019,d,All Inpatients,d,11326,54498,4.811760551,,7131,56849,7.972093676,
2017Q2,,S08000019,,S08000019,d,All Inpatients,d,11014,52898,4.802796441,,7143,54665,7.652946941,
2017Q3,,S08000019,,S08000019,d,All Inpatients,d,10762,51124,4.750418138,,6970,52541,7.538163558,
2017Q4,,S08000019,,S08000019,d,All Inpatients,d,11074,53027,4.788423334,,7005,53226,7.598286938,
2018Q1,,S08000019,,S08000019,d,All Inpatients,d,11073,54653,4.935699449,,6920,54309,7.848121387,
2018Q2,,S08000019,,S08000019,d,All Inpatients,d,10922,52016,4.762497711,,6988,54043,7.733686319,
2018Q3,,S08000019,,S08000019,d,All Inpatients,d,10850,50549,4.658894009,,6867,51657,7.522498908,
2018Q4,,S08000019,,S08000019,d,All Inpatients,d,11034,55419,5.022566612,,7044,56600,8.035207269,
2019Q1,,S08000019,,S08000019,d,All Inpatients,d,10992,52825,4.805767831,,6908,52462,7.594383324,
2019Q2,,S08000019,,S08000019,d,All Inpatients,d,16511,54638,3.309187814,,8428,53396,6.335548173,
2019Q3,,S08000019,,S08000019,d,All Inpatients,d,19580,55538,2.836465781,,9099,57268,6.293878448,
2019Q4,,S08000019,,S08000019,d,All Inpatients,d,17783,52489,2.951639206,,8208,54634,6.656189084,
2020Q1,,S08000019,,S08000019,d,All Inpatients,d,7863,37672,4.791046674,,3409,36293,10.64623057,
2020Q2,,S08000019,,S08000019,d,All Inpatients,d,11085,34668,3.127469553,,4541,37850,8.335168465,
2020Q3,p,S08000019,,S08000019,d,All Inpatients,d,6132,22115,3.606490541,,2485,24946,10.03863179,
2015Q3,,S08000020,,N101H,,All Inpatients,d,14058,59210,4.211836677,,10753,76228,7.088998419,
2015Q4,,S08000020,,N101H,,All Inpatients,d,14534,57959,3.98782166,,10692,78119,7.306303779,
2016Q1,,S08000020,,N101H,,All Inpatients,d,14587,60296,4.133543566,,10859,83621,7.700617,
2016Q2,,S08000020,,N101H,,All Inpatients,d,14272,56897,3.986617152,,10542,79613,7.551982546,
2016Q3,,S08000020,,N101H,,All Inpatients,d,13765,56810,4.127134036,,10302,77804,7.552319938,
2016Q4,,S08000020,,N101H,,All Inpatients,d,14217,56936,4.004783006,,10603,74136,6.991983401,
2017Q1,,S08000020,,N101H,,All Inpatients,d,13618,58246,4.277133206,,10090,78634,7.793260654,
2017Q2,,S08000020,,N101H,,All Inpatients,d,13791,55163,3.999927489,,10413,74873,7.190338999,
2017Q3,,S08000020,,N101H,,All Inpatients,d,13582,53963,3.973126196,,10268,70486,6.86462797,
2017Q4,,S08000020,,N101H,,All Inpatients,d,13942,55758,3.999282743,,10493,74802,7.128752502,
2018Q1,,S08000020,,N101H,,All Inpatients,d,13403,58947,4.398045214,,10239,78321,7.649282156,
2018Q2,,S08000020,,N101H,,All Inpatients,d,13928,54700,3.927340609,,10602,75743,7.144218072,
2018Q3,,S08000020,,N101H,,All Inpatients,d,13786,52919,3.838604381,,10323,68918,6.676160031,
2018Q4,,S08000020,,N101H,,All Inpatients,d,13468,53469,3.97007722,,10444,72802,6.970700881,
2019Q1,,S08000020,,N101H,,All Inpatients,d,13426,55289,4.118054521,,10336,71141,6.882836687,
2019Q2,,S08000020,,N101H,,All Inpatients,d,13675,56342,4.120073126,,10615,71443,6.730381536,
2019Q3,,S08000020,,N101H,,All Inpatients,d,13939,56308,4.039601119,,10976,74249,6.764668367,
2019Q4,,S08000020,,N101H,,All Inpatients,d,13870,57226,4.125883201,,10886,76484,7.025904832,
2020Q1,,S08000020,,N101H,,All Inpatients,d,13117,58292,4.444003964,,10226,81176,7.938196753,
2020Q2,,S08000020,,N101H,,All Inpatients,d,12301,36744,2.987074222,,8561,50344,5.880621423,
2020Q3,p,S08000020,,N101H,,All Inpatients,d,11739,41697,3.552006133,,9322,56676,6.079811199,
2015Q3,,S08000020,,N411H,,All Inpatients,d,2091,8491,4.06073649,,1596,12451,7.801378446,
2015Q4,,S08000020,,N411H,,All Inpatients,d,2063,8591,4.1643238,,1545,12964,8.390938511,
2016Q1,,S08000020,,N411H,,All Inpatients,d,2168,9038,4.168819188,,1581,13156,8.321315623,
2016Q2,,S08000020,,N411H,,All Inpatients,d,2409,10314,4.281444583,,1770,14914,8.425988701,
2016Q3,,S08000020,,N411H,,All Inpatients,d,2448,9463,3.865604575,,1803,15145,8.399889074,
2016Q4,,S08000020,,N411H,,All Inpatients,d,2374,9151,3.854675653,,1748,14088,8.059496568,
2017Q1,,S08000020,,N411H,,All Inpatients,d,2277,10325,4.534475187,,1680,14615,8.699404762,
2017Q2,,S08000020,,N411H,,All Inpatients,d,2356,9529,4.044567063,,1784,14172,7.943946188,
2017Q3,,S08000020,,N411H,,All Inpatients,d,2510,9635,3.838645418,,1813,16097,8.878654164,
2017Q4,,S08000020,,N411H,,All Inpatients,d,2614,8783,3.359984698,,1896,13233,6.97943038,
2018Q1,,S08000020,,N411H,,All Inpatients,d,2463,9693,3.93544458,,1773,13910,7.845459673,
2018Q2,,S08000020,,N411H,,All Inpatients,d,2606,9504,3.646968534,,1869,15155,8.108614232,
2018Q3,,S08000020,,N411H,,All Inpatients,d,2460,8321,3.382520325,,1768,11927,6.746040724,
2018Q4,,S08000020,,N411H,,All Inpatients,d,2537,8656,3.411903823,,1816,14648,8.066079295,
2019Q1,,S08000020,,N411H,,All Inpatients,d,2349,7574,3.224350788,,1735,14169,8.166570605,
2019Q2,,S08000020,,N411H,,All Inpatients,d,2378,7582,3.188393608,,1753,11515,6.568739304,
2019Q3,,S08000020,,N411H,,All Inpatients,d,2321,7797,3.359327876,,1593,12346,7.750156937,
2019Q4,,S08000020,,N411H,,All Inpatients,d,2258,10522,4.659875996,,1608,15314,9.523631841,
2020Q1,,S08000020,,N411H,,All Inpatients,d,2123,9218,4.341968912,,1546,15105,9.770375162,
2020Q2,,S08000020,,N411H,,All Inpatients,d,1706,5750,3.37045721,,1231,10436,8.477660439,
2020Q3,p,S08000020,,N411H,,All Inpatients,d,1980,6254,3.158585859,,1426,9569,6.710378682,
2015Q3,,S08000020,,S08000020,d,All Inpatients,d,18023,88225,4.895133995,,13604,94610,6.954572185,
2015Q4,,S08000020,,S08000020,d,All Inpatients,d,18504,86485,4.673854302,,13533,98271,7.261582798,
2016Q1,,S08000020,,S08000020,d,All Inpatients,d,18659,92274,4.945281098,,13699,102355,7.471713264,
2016Q2,,S08000020,,S08000020,d,All Inpatients,d,18591,88344,4.751976763,,13602,99937,7.347228349,
2016Q3,,S08000020,,S08000020,d,All Inpatients,d,18088,87863,4.857529854,,13310,98137,7.373178062,
2016Q4,,S08000020,,S08000020,d,All Inpatients,d,18447,84347,4.572396596,,13506,93942,6.9555753,
2017Q1,,S08000020,,S08000020,d,All Inpatients,d,17507,87569,5.00194208,,12770,97155,7.608065779,
2017Q2,,S08000020,,S08000020,d,All Inpatients,d,17778,83560,4.700191248,,13264,93521,7.050738842,
2017Q3,,S08000020,,S08000020,d,All Inpatients,d,17562,81243,4.626067646,,13023,91024,6.989480151,
2017Q4,,S08000020,,S08000020,d,All Inpatients,d,17983,81546,4.534616026,,13274,91243,6.87381347,
2018Q1,,S08000020,,S08000020,d,All Inpatients,d,17311,87333,5.044942522,,12857,95950,7.462860698,
2018Q2,,S08000020,,S08000020,d,All Inpatients,d,18204,83089,4.564326522,,13490,94950,7.038547072,
2018Q3,,S08000020,,S08000020,d,All Inpatients,d,17754,77143,4.345105328,,13053,84787,6.495594882,
2018Q4,,S08000020,,S08000020,d,All Inpatients,d,17542,78377,4.467962604,,13233,91264,6.89669765,
2019Q1,,S08000020,,S08000020,d,All Inpatients,d,17265,78562,4.550362004,,13039,88896,6.817700744,
2019Q2,,S08000020,,S08000020,d,All Inpatients,d,17574,80198,4.563446,,13389,87150,6.509074613,
2019Q3,,S08000020,,S08000020,d,All Inpatients,d,17777,80180,4.510322327,,13584,89781,6.609319788,
2019Q4,,S08000020,,S08000020,d,All Inpatients,d,17641,85836,4.865710561,,13455,95691,7.111928651,
2020Q1,,S08000020,,S08000020,d,All Inpatients,d,16881,86892,5.147325395,,12760,101088,7.922257053,
2020Q2,,S08000020,,S08000020,d,All Inpatients,d,15463,55267,3.574144733,,10407,62952,6.049005477,
2020Q3,p,S08000020,,S08000020,d,All Inpatients,d,15204,61050,4.015390687,,11432,68634,6.003673898,
2015Q3,,S08000031,,G107H,,All Inpatients,d,23153,69664,3.008854144,,13341,80581,6.040101941,
2015Q4,,S08000031,,G107H,,All Inpatients,d,24224,73779,3.045698481,,13783,84226,6.110861206,
2016Q1,,S08000031,,G107H,,All Inpatients,d,24490,73961,3.020049,,13936,84422,6.057835821,
2016Q2,,S08000031,,G107H,,All Inpatients,d,24592,73918,3.005774236,,13840,85282,6.16199422,
2016Q3,,S08000031,,G107H,,All Inpatients,d,26502,72356,2.730209041,,14146,81046,5.729252085,
2016Q4,,S08000031,,G107H,,All Inpatients,d,25228,72810,2.88607896,,13679,83008,6.068279845,
2017Q1,,S08000031,,G107H,,All Inpatients,d,20814,71936,3.456135294,,11813,80949,6.852535342,
2017Q2,,S08000031,,G107H,,All Inpatients,d,20005,71456,3.571907023,,11565,85067,7.355555556,
2017Q3,,S08000031,,G107H,,All Inpatients,d,20125,69121,3.434583851,,11934,80186,6.719121837,
2017Q4,,S08000031,,G107H,,All Inpatients,d,19982,71651,3.585777199,,12119,81910,6.758808483,
2018Q1,,S08000031,,G107H,,All Inpatients,d,19962,74678,3.741007915,,11671,85164,7.297061092,
2018Q2,,S08000031,,G107H,,All Inpatients,d,20185,70584,3.4968541,,12131,83669,6.897123073,
2018Q3,,S08000031,,G107H,,All Inpatients,d,20360,70652,3.470137525,,12115,78560,6.484523318,
2018Q4,,S08000031,,G107H,,All Inpatients,d,20574,71067,3.454214057,,12165,81918,6.733908755,
2019Q1,,S08000031,,G107H,,All Inpatients,d,20812,71976,3.458389391,,12152,82473,6.786784068,
2019Q2,,S08000031,,G107H,,All Inpatients,d,21394,73053,3.414648967,,12151,83292,6.854744465,
2019Q3,,S08000031,,G107H,,All Inpatients,d,21311,70743,3.319553282,,11973,81908,6.84105905,
2019Q4,,S08000031,,G107H,,All Inpatients,d,21395,73603,3.440196308,,12082,80838,6.690779672,
2020Q1,,S08000031,,G107H,,All Inpatients,d,20082,74852,3.727317996,,11190,85522,7.642716711,
2020Q2,,S08000031,,G107H,,All Inpatients,d,15088,47090,3.12102333,,8159,58300,7.145483515,
2020Q3,p,S08000031,,G107H,,All Inpatients,d,18373,59619,3.244924618,,10391,70128,6.748917332,
2015Q3,,S08000031,,C313H,,All Inpatients,d,5142,23628,4.595099183,,3276,24551,7.494200244,
2015Q4,,S08000031,,C313H,,All Inpatients,d,5101,23085,4.525583219,,3301,24268,7.351711603,
2016Q1,,S08000031,,C313H,,All Inpatients,d,5369,24827,4.624138573,,3327,24517,7.369101292,
2016Q2,,S08000031,,C313H,,All Inpatients,d,5064,23855,4.710703002,,3215,24209,7.530015552,
2016Q3,,S08000031,,C313H,,All Inpatients,d,4970,23389,4.706036217,,3158,23383,7.404369854,
2016Q4,,S08000031,,C313H,,All Inpatients,d,4751,23422,4.929909493,,3040,23413,7.701644737,
2017Q1,,S08000031,,C313H,,All Inpatients,d,4989,24316,4.87392263,,3102,24503,7.899097357,
2017Q2,,S08000031,,C313H,,All Inpatients,d,5046,23111,4.580063417,,3132,24392,7.787994891,
2017Q3,,S08000031,,C313H,,All Inpatients,d,5237,21014,4.012602635,,3199,23059,7.208190059,
2017Q4,,S08000031,,C313H,,All Inpatients,d,5702,22688,3.978954753,,3364,23968,7.124851367,
2018Q1,,S08000031,,C313H,,All Inpatients,d,5594,23005,4.112441902,,3277,24486,7.47207812,
2018Q2,,S08000031,,C313H,,All Inpatients,d,5160,21468,4.160465116,,3135,21843,6.967464115,
2018Q3,,S08000031,,C313H,,All Inpatients,d,5009,20856,4.16370533,,2980,21237,7.126510067,
2018Q4,,S08000031,,C313H,,All Inpatients,d,5233,22600,4.318746417,,3139,23920,7.62026123,
2019Q1,,S08000031,,C313H,,All Inpatients,d,5249,23979,4.568298724,,3133,24905,7.94924992,
2019Q2,,S08000031,,C313H,,All Inpatients,d,4924,23293,4.730503656,,3063,25254,8.244857982,
2019Q3,,S08000031,,C313H,,All Inpatients,d,5111,22840,4.4687928,,3107,23362,7.519150306,
2019Q4,,S08000031,,C313H,,All Inpatients,d,5491,24361,4.436532508,,3101,24466,7.889712996,
2020Q1,,S08000031,,C313H,,All Inpatients,d,5184,25083,4.838541667,,2823,26184,9.275239107,
2020Q2,,S08000031,,C313H,,All Inpatients,d,3471,15420,4.442523768,,1868,16585,8.878479657,
2020Q3,p,S08000031,,C313H,,All Inpatients,d,4354,18496,4.248047772,,2385,19741,8.277148847,
2015Q3,,S08000031,,G306H,,All Inpatients,d,484,4235,8.75,,326,3875,11.88650307,
2015Q4,,S08000031,,G306H,,All Inpatients,d,497,4601,9.257545272,,313,1596,5.099041534,
2016Q1,,S08000031,,G306H,,All Inpatients,d,437,4576,10.47139588,,242,741,3.061983471,
2016Q2,,S08000031,,G306H,,All Inpatients,d,393,5119,13.02544529,,239,848,3.548117155,
2016Q3,,S08000031,,G306H,,All Inpatients,d,425,4397,10.34588235,,299,381,1.274247492,
2016Q4,,S08000031,,G306H,,All Inpatients,d,377,4489,11.9071618,,234,503,2.14957265,
2017Q1,,S08000031,,G306H,,All Inpatients,d,460,4759,10.34565217,,282,579,2.053191489,
2017Q2,,S08000031,,G306H,,All Inpatients,d,431,4440,10.30162413,,223,414,1.856502242,
2017Q3,,S08000031,,G306H,,All Inpatients,d,448,4680,10.44642857,,265,1374,5.18490566,
2017Q4,,S08000031,,G306H,,All Inpatients,d,405,4541,11.21234568,,262,633,2.416030534,
2018Q1,,S08000031,,G306H,,All Inpatients,d,519,5007,9.647398844,,277,523,1.888086643,
2018Q2,,S08000031,,G306H,,All Inpatients,d,449,4548,10.12917595,,273,564,2.065934066,
2018Q3,,S08000031,,G306H,,All Inpatients,d,460,4831,10.50217391,,228,481,2.109649123,
2018Q4,,S08000031,,G306H,,All Inpatients,d,436,4369,10.0206422,,231,444,1.922077922,
2019Q1,,S08000031,,G306H,,All Inpatients,d,452,4438,9.818584071,,256,579,2.26171875,
2019Q2,,S08000031,,G306H,,All Inpatients,d,471,4831,10.25690021,,250,570,2.28,
2019Q3,,S08000031,,G306H,,All Inpatients,d,475,3885,8.178947368,,280,469,1.675,
2019Q4,,S08000031,,G306H,,All Inpatients,d,501,5506,10.99001996,,276,627,2.27173913,
2020Q1,,S08000031,,G306H,,All Inpatients,d,455,4996,10.98021978,,222,385,1.734234234,
2020Q2,,S08000031,,G306H,,All Inpatients,d,209,3719,17.79425837,,10,26,2.6,
2020Q3,p,S08000031,,G306H,,All Inpatients,d,297,3881,13.06734007,,96,174,1.8125,
2015Q3,,S08000031,,S08000031,d,All Inpatients,d,87560,308237,3.520294655,,48401,304402,6.289167579,
2015Q4,,S08000031,,S08000031,d,All Inpatients,d,89434,318904,3.565802715,,49260,314177,6.377933415,
2016Q1,,S08000031,,S08000031,d,All Inpatients,d,92234,322174,3.493006917,,49598,315889,6.368986653,
